"","K1","K2","K3","K4","K5","K6","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","SK1","SK2","SK3","SK4","SK5","SK6","XF1_1","XF1_2","XF1_3","XF1","XF2_1","XF2_2","XF2_3","XF2","XF3","XF4","XF5","XF6"
"ASV_1",13395,12618,8192,4645,10770,4703,25488,27410,26470,272,241,211,34011,44752,24572,3117,4118,2059,227,183,78,87,112,187,22,21,27,0,0,0,25,9,0,0,0,0
"ASV_2",11762,19502,15115,33684,13833,7511,3368,4066,2244,231,210,140,2044,1561,1660,228,347,1574,500,5776,18153,284,804,7316,83,26,23,0,0,0,0,13,14,0,18,16
"ASV_3",8272,10890,11414,15272,10148,27328,0,16,166,0,0,0,222,8,0,0,46,0,171,433,475,198,313,330,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4",149,129,211,109,168,134,44,32,41,6545,5971,2826,198,54,144,7922,17891,27885,6210,7710,3773,2543,11353,4565,53,0,30,118,130,101,132,341,77,95,172,77
"ASV_5",554,556,586,0,200,0,4968,5817,1240,191,494,181,3340,4610,23919,0,316,290,159,0,0,60,0,0,165,63,36,0,132,143,148,0,0,0,0,0
"ASV_6",144,489,313,541,643,331,395,169,39,78,352,85,270,538,378,80,45,98,95,184,0,0,0,82,0,0,0,0,0,0,58,0,0,0,8,0
"ASV_7",3692,3569,5122,3488,5730,2416,0,0,0,0,0,0,365,548,28,35,54,0,25,118,44,32,38,39,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8",1970,5117,2647,1103,3398,296,0,0,0,0,0,0,0,0,0,0,0,0,130,559,0,118,204,320,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9",543,969,264,623,303,696,1902,498,2169,462,1449,131,4046,4367,4084,402,483,576,177,141,0,0,305,589,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10",502,686,1080,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,1341,0,0,8364,5891,25,0,0,0,0,0,0,0,0,0,8,107,0
"ASV_11",134,1981,550,667,1019,1517,15,0,0,7,16,0,1153,1224,1233,65,163,219,43,224,477,381,184,419,0,13,0,0,4,8,12,0,0,0,4,0
"ASV_12",1320,4442,697,637,661,2682,653,394,1317,229,558,61,3575,1527,1679,1691,404,387,442,550,6715,102,863,3066,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_13",1740,10742,2941,2868,2960,1681,0,0,0,0,0,0,0,0,23,0,0,34,226,335,258,69,143,136,0,0,0,0,0,0,0,0,0,0,8,0
"ASV_14",1801,4460,3155,1826,2160,2109,14,17,12,24,13,16,34,82,133,11,0,80,1349,1102,1659,287,851,1018,382,194,121,0,0,0,1,0,10,13,0,0
"ASV_15",7,12,13,14,9,0,0,0,0,25,27,8,3,0,0,49,25,204,1552,1930,1244,2186,3086,2145,0,0,8,4,0,0,0,0,11,11,35,0
"ASV_16",196,83,751,1116,293,886,0,0,0,136,391,0,26,0,130,17,9,45,136,12483,20,4812,633,4249,0,0,0,0,0,0,0,0,4,0,0,0
"ASV_17",852,782,695,540,739,1162,2876,2056,3030,140,91,62,2157,7669,5857,148,220,420,175,103,79,83,169,59,52,0,0,0,19,51,42,0,0,0,0,0
"ASV_18",0,621,0,0,22,16,5,0,7,0,0,0,61,22,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19",30,19,30,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,547,3329,0,316,4808,517,0,0,0,0,0,0,0,0,0,0,50,0
