"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_1","ASV_1",1,0.00256200458972879,-2.59142009656943,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_2","ASV_2",1,0.08118788059068,-1.09050879570244,"Retain","Retain","Retain","Both_Pass"
"ASV_3","ASV_3",1,0.00528302848009103,-2.27711704808402,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_4","ASV_4",1,0.0993975441402079,-1.00262434577907,"Retain","Retain","Retain","Both_Pass"
"ASV_5","ASV_5",0.333333333333333,0.000854225007048941,-3.06842771894947,"Retain","Discard","Discard","Both_Fail"
"ASV_6","ASV_6",0.5,0.000945358771214378,-3.02440334197866,"Retain","Discard","Discard","Both_Fail"
"ASV_7","ASV_7",1,0.000802106473497984,-3.09576797861927,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_8","ASV_8",0.833333333333333,0.00355947055641651,-2.44861459515252,"Retain","Discard","Discard","Both_Fail"
"ASV_9","ASV_9",0.666666666666667,0.00315468798989174,-2.50104358759862,"Retain","Discard","Discard","Both_Fail"
"ASV_10","ASV_10",0.666666666666667,0.0598712641133518,-1.22278157212561,"Retain","Retain","Discard","Only_RA_pass"
"ASV_11","ASV_11",1,0.00518899620891235,-2.28491664660109,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_12","ASV_12",1,0.0297161448005259,-1.52700753409248,"Retain","Retain","Retain","Both_Pass"
"ASV_13","ASV_13",1,0.00319482070832629,-2.49555350920179,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_14","ASV_14",1,0.0173021785353261,-1.76189921095765,"Retain","Retain","Retain","Both_Pass"
"ASV_15","ASV_15",1,0.0363149926974065,-1.43991403883499,"Retain","Retain","Retain","Both_Pass"
"ASV_16","ASV_16",1,0.063681233701375,-1.19598853156892,"Retain","Retain","Retain","Both_Pass"
"ASV_17","ASV_17",1,0.00199975671786514,-2.69902283559367,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_18","ASV_18",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_19","ASV_19",0.833333333333333,0.0236299168162212,-1.62653780720046,"Retain","Retain","Discard","Only_RA_pass"
"ASV_20","ASV_20",0.166666666666667,0.000110550348473925,-3.95643988411137,"Retain","Discard","Discard","Both_Fail"
"ASV_21","ASV_21",0.833333333333333,0.00316147937626102,-2.50010964693798,"Retain","Discard","Discard","Both_Fail"
"ASV_22","ASV_22",1,0.00175355750976668,-2.75607998640366,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_23","ASV_23",0.833333333333333,0.0152341885060037,-1.81718067480206,"Retain","Retain","Discard","Only_RA_pass"
"ASV_24","ASV_24",0.833333333333333,0.013100316544143,-1.88271821032029,"Retain","Retain","Discard","Only_RA_pass"
"ASV_25","ASV_25",1,0.0014583363788835,-2.83614229039156,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_26","ASV_26",0.333333333333333,0.0114447228046074,-1.94139472163402,"Retain","Retain","Discard","Only_RA_pass"
"ASV_27","ASV_27",0.166666666666667,0.000267992524419056,-3.57187732033253,"Retain","Discard","Discard","Both_Fail"
"ASV_28","ASV_28",1,0.0153948565745765,-1.8126243528251,"Retain","Retain","Retain","Both_Pass"
"ASV_29","ASV_29",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_30","ASV_30",0.5,0.000143143620805402,-3.8442280015421,"Retain","Discard","Discard","Both_Fail"
"ASV_31","ASV_31",1,0.017211996134916,-1.76416876011358,"Retain","Retain","Retain","Both_Pass"
"ASV_32","ASV_32",0.333333333333333,0.000444275643308276,-3.35234749559723,"Retain","Discard","Discard","Both_Fail"
"ASV_33","ASV_33",0.666666666666667,0.0012645167157857,-2.89807542529505,"Retain","Discard","Discard","Both_Fail"
"ASV_35","ASV_35",0.333333333333333,0.000193427135801548,-3.71348259901111,"Retain","Discard","Discard","Both_Fail"
"ASV_36","ASV_36",1,0.0125827178139944,-1.90022554298152,"Retain","Retain","Retain","Both_Pass"
"ASV_37","ASV_37",1,0.00358464286940346,-2.445554105707,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_38","ASV_38",1,0.00976085222927609,-2.01051226201428,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_39","ASV_39",1,0.0108659135324862,-1.9639337552671,"Retain","Retain","Retain","Both_Pass"
"ASV_40","ASV_40",1,0.00623427425216398,-2.20521409657608,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_41","ASV_41",0.5,0.000433751384889773,-3.36275912557507,"Retain","Discard","Discard","Both_Fail"
"ASV_42","ASV_42",0.666666666666667,0.000282709552652481,-3.5486595166107,"Retain","Discard","Discard","Both_Fail"
"ASV_43","ASV_43",1,0.00504273171950716,-2.29733413630982,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_44","ASV_44",0.5,0.00132713019005205,-2.87708647122161,"Retain","Discard","Discard","Both_Fail"
"ASV_45","ASV_45",1,0.0107172770880147,-1.96991554074963,"Retain","Retain","Retain","Both_Pass"
