"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_1","ASV_1",1,0.105406864141955,-0.977131106752426,"Retain","Retain","Retain","Both_Pass"
"ASV_2","ASV_2",1,0.193022040589322,-0.714393097418158,"Retain","Retain","Retain","Both_Pass"
"ASV_3","ASV_3",1,0.164737627656453,-0.783207192468702,"Retain","Retain","Retain","Both_Pass"
"ASV_4","ASV_4",1,0.00177326130183885,-2.75122726350503,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_5","ASV_5",0.666666666666667,0.003580632500954,-2.44604025061556,"Retain","Discard","Discard","Both_Fail"
"ASV_6","ASV_6",1,0.00473131238579734,-2.32501837662927,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_7","ASV_7",1,0.0472030609369161,-1.3260298381263,"Retain","Retain","Retain","Both_Pass"
"ASV_8","ASV_8",1,0.0267748524894134,-1.57227291314635,"Retain","Retain","Retain","Both_Pass"
"ASV_9","ASV_9",1,0.00641182971778687,-2.19301801994352,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_10","ASV_10",0.666666666666667,0.00537000063930587,-2.27002566259709,"Retain","Discard","Discard","Both_Fail"
"ASV_11","ASV_11",1,0.0108520127897476,-1.96448970306806,"Retain","Retain","Retain","Both_Pass"
"ASV_12","ASV_12",1,0.018926526552317,-1.7229290816292,"Retain","Retain","Retain","Both_Pass"
"ASV_13","ASV_13",1,0.0402317646230043,-1.39543091823097,"Retain","Retain","Retain","Both_Pass"
"ASV_14","ASV_14",1,0.0290235734876663,-1.53724911669394,"Retain","Retain","Retain","Both_Pass"
"ASV_15","ASV_15",0.833333333333333,0.000103750734405778,-3.98400882042553,"Retain","Discard","Discard","Both_Fail"
"ASV_16","ASV_16",1,0.00664140821914945,-2.17773982470388,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_17","ASV_17",1,0.00942255590530433,-2.02583127714255,"Retain","Discard","Retain","Only_prevN_pass"
