"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_1","ASV_1",1,0.035623052502921,-1.44826886902846,"Retain","Retain","Retain","Both_Pass"
"ASV_2","ASV_2",1,0.00785142342731716,-2.1050516005046,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_3","ASV_3",0.166666666666667,0.00019821263907202,-3.70286865608573,"Retain","Discard","Discard","Both_Fail"
"ASV_4","ASV_4",1,0.228721401584081,-0.640693196324572,"Retain","Retain","Retain","Both_Pass"
"ASV_5","ASV_5",0.833333333333333,0.00653946894072774,-2.18445751856809,"Retain","Discard","Discard","Both_Fail"
"ASV_6","ASV_6",1,0.00336672303438391,-2.47279260965476,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_7","ASV_7",0.333333333333333,0.00035261559614973,-3.45269848281386,"Retain","Discard","Discard","Both_Fail"
"ASV_8","ASV_8",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_9","ASV_9",1,0.014632600286705,-1.83467849070168,"Retain","Retain","Retain","Both_Pass"
"ASV_10","ASV_10",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_11","ASV_11",0.833333333333333,0.00136041671201073,-2.86632804162504,"Retain","Discard","Discard","Both_Fail"
"ASV_12","ASV_12",1,0.0124168237360379,-1.90598948389604,"Retain","Retain","Retain","Both_Pass"
"ASV_13","ASV_13",0.166666666666667,5.01843536993249e-05,-4.29943166455243,"Retain","Discard","Discard","Both_Fail"
"ASV_14","ASV_14",0.833333333333333,0.000462261826397155,-3.33511196913943,"Retain","Discard","Discard","Both_Fail"
"ASV_15","ASV_15",1,0.000893496155875348,-3.04890731163703,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_16","ASV_16",0.833333333333333,0.0027291512533535,-2.56397239445964,"Retain","Discard","Discard","Both_Fail"
"ASV_17","ASV_17",1,0.00369165025259473,-2.43277945081057,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_18","ASV_18",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_19","ASV_19",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_20","ASV_20",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_21","ASV_21",0.333333333333333,9.63451394454137e-05,-4.0161701903524,"Retain","Discard","Discard","Both_Fail"
"ASV_22","ASV_22",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
