"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_1","ASV_1",1,0.430201140213666,-0.36632844288429,"Retain","Retain","Retain","Both_Pass"
"ASV_2","ASV_2",1,0.0381167097861027,-1.41888459448203,"Retain","Retain","Retain","Both_Pass"
"ASV_3","ASV_3",0.666666666666667,0.00105783641462413,-2.97558148704466,"Retain","Discard","Discard","Both_Fail"
"ASV_4","ASV_4",1,0.00113267674466238,-2.94589401603261,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_5","ASV_5",1,0.0889000963275795,-1.05109776845033,"Retain","Retain","Retain","Both_Pass"
"ASV_6","ASV_6",1,0.00400929820378903,-2.39693164057072,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_7","ASV_7",0.5,0.00191289916896931,-2.71830792151182,"Retain","Discard","Discard","Both_Fail"
"ASV_8","ASV_8",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_9","ASV_9",1,0.0374910670822624,-1.42607219837965,"Retain","Retain","Retain","Both_Pass"
"ASV_10","ASV_10",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_11","ASV_11",0.666666666666667,0.00697023361695619,-2.15675266568181,"Retain","Discard","Discard","Both_Fail"
"ASV_12","ASV_12",1,0.0207426199089898,-1.68313639065873,"Retain","Retain","Retain","Both_Pass"
"ASV_13","ASV_13",0.166666666666667,3.65458746063374e-05,-4.43716164023339,"Retain","Discard","Discard","Both_Fail"
"ASV_14","ASV_14",1,0.000566128408234033,-3.24708505174016,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_15","ASV_15",0.166666666666667,7.03304122768768e-06,-5.15285683674488,"Retain","Discard","Discard","Both_Fail"
"ASV_16","ASV_16",0.333333333333333,0.000267516663052591,-3.57264916150664,"Retain","Discard","Discard","Both_Fail"
"ASV_17","ASV_17",1,0.0516671722786223,-1.28678530654793,"Retain","Retain","Retain","Both_Pass"
"ASV_18","ASV_18",0.833333333333333,0.000317735771641431,-3.49793388825143,"Retain","Discard","Discard","Both_Fail"
"ASV_19","ASV_19",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_20","ASV_20",0.833333333333333,0.00701992722238645,-2.15366739030322,"Retain","Discard","Discard","Both_Fail"
"ASV_21","ASV_21",0.333333333333333,0.000251965558500337,-3.59865881943871,"Retain","Discard","Discard","Both_Fail"
"ASV_22","ASV_22",0.666666666666667,0.000936871694248295,-3.02831988221299,"Retain","Discard","Discard","Both_Fail"
"ASV_23","ASV_23",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_24","ASV_24",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_25","ASV_25",0.666666666666667,0.00403684588546486,-2.39395783031963,"Retain","Discard","Discard","Both_Fail"
"ASV_26","ASV_26",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_27","ASV_27",1,0.0252534931335508,-1.59767854056712,"Retain","Retain","Retain","Both_Pass"
"ASV_28","ASV_28",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_29","ASV_29",0.5,0.00010693476305973,-3.97088108851651,"Retain","Discard","Discard","Both_Fail"
"ASV_30","ASV_30",0.333333333333333,0.000188689136033843,-3.7242531040554,"Retain","Discard","Discard","Both_Fail"
"ASV_31","ASV_31",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_32","ASV_32",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_33","ASV_33",0.166666666666667,0.000184803258451053,-3.7332903755681,"Retain","Discard","Discard","Both_Fail"
"ASV_35","ASV_35",0.833333333333333,0.000451318450279271,-3.34551691179187,"Retain","Discard","Discard","Both_Fail"
"ASV_36","ASV_36",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_37","ASV_37",1,0.00515880254841625,-2.28745109429655,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_38","ASV_38",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_39","ASV_39",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_40","ASV_40",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_41","ASV_41",1,0.000864933511042706,-3.06301727623125,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_42","ASV_42",0.5,0.00274284433130503,-2.56179883985215,"Retain","Discard","Discard","Both_Fail"
"ASV_43","ASV_43",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_44","ASV_44",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_45","ASV_45",0.333333333333333,3.9411140515097e-05,-4.40438099694749,"Retain","Discard","Discard","Both_Fail"
"ASV_46","ASV_46",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_47","ASV_47",0.166666666666667,2.81321649107507e-05,-4.55079684541692,"Retain","Discard","Discard","Both_Fail"
"ASV_48","ASV_48",1,0.00232525930062031,-2.63352860984959,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_49","ASV_49",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_50","ASV_50",1,0.000809398306692715,-3.09183770851225,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_51","ASV_51",0.833333333333333,0.00162724224561964,-2.78854778934676,"Retain","Discard","Discard","Both_Fail"
"ASV_52","ASV_52",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_53","ASV_53",1,0.0155712638161349,-1.80767613720073,"Retain","Retain","Retain","Both_Pass"
"ASV_54","ASV_54",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_55","ASV_55",1,0.00107118586303958,-2.97013516755357,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_56","ASV_56",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_57","ASV_57",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_58","ASV_58",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_59","ASV_59",0.333333333333333,0.000253697393805274,-3.59568399419649,"Retain","Discard","Discard","Both_Fail"
"ASV_60","ASV_60",1,0.0109159970041672,-1.96193659219175,"Retain","Retain","Retain","Both_Pass"
"ASV_61","ASV_61",0.666666666666667,0.000737476935815592,-3.1322515574578,"Retain","Discard","Discard","Both_Fail"
"ASV_62","ASV_62",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_63","ASV_63",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_64","ASV_64",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_65","ASV_65",0.833333333333333,0.000545851631618453,-3.26292538719589,"Retain","Discard","Discard","Both_Fail"
"ASV_66","ASV_66",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_67","ASV_67",1,0.00268939254553717,-2.57034580323658,"Retain","Discard","Retain","Only_prevN_pass"
"ASV_68","ASV_68",0.833333333333333,0.000995219917841241,-3.00208094081043,"Retain","Discard","Discard","Both_Fail"
"ASV_69","ASV_69",1,0.0181922847683047,-1.74011275448487,"Retain","Retain","Retain","Both_Pass"
