diff	lwr	upr	p adj
Kitaake_Root-MH63_Root	75.2666666666668	-68.3209451098598	218.854278443193	0.608389912302763
MH63_Rhizo-MH63_Root	106.25	-37.3376117765265	249.837611776527	0.245516825132748
Kitaake_Rhizo-MH63_Root	113.166666666667	-30.4209451098598	256.754278443193	0.189373279356033
Kitaake_Input-MH63_Root	311.833333333333	168.245721556807	455.42094510986	3.66513578808902e-06
MH63_Input-MH63_Root	326.75	183.162388223473	470.337611776527	1.55530527834458e-06
MH63_Rhizo-Kitaake_Root	30.9833333333333	-112.604278443193	174.57094510986	0.985356296530149
Kitaake_Rhizo-Kitaake_Root	37.8999999999999	-105.687611776527	181.487611776526	0.964778068089708
Kitaake_Input-Kitaake_Root	236.566666666667	92.9790548901401	380.154278443193	0.000300821127182549
MH63_Input-Kitaake_Root	251.483333333333	107.895721556807	395.07094510986	0.000125229311021546
Kitaake_Rhizo-MH63_Rhizo	6.91666666666663	-136.67094510986	150.504278443193	0.999989490385886
Kitaake_Input-MH63_Rhizo	205.583333333333	61.9957215568068	349.17094510986	0.00181561131550534
MH63_Input-MH63_Rhizo	220.5	76.9123882234734	364.087611776527	0.000768376640908119
Kitaake_Input-Kitaake_Rhizo	198.666666666667	55.0790548901402	342.254278443193	0.00269134920978797
MH63_Input-Kitaake_Rhizo	213.583333333333	69.9957215568068	357.17094510986	0.00114668156327336
MH63_Input-Kitaake_Input	14.9166666666666	-128.67094510986	158.504278443193	0.999533809945128
diff	lwr	upr	p adj
Kitaake_Root-MH63_Root	75.2666666666668	-68.3209451098598	218.854278443193	0.608389912302763
MH63_Rhizo-MH63_Root	106.25	-37.3376117765265	249.837611776527	0.245516825132748
Kitaake_Rhizo-MH63_Root	113.166666666667	-30.4209451098598	256.754278443193	0.189373279356033
Kitaake_Input-MH63_Root	311.833333333333	168.245721556807	455.42094510986	3.66513578808902e-06
MH63_Input-MH63_Root	326.75	183.162388223473	470.337611776527	1.55530527834458e-06
MH63_Rhizo-Kitaake_Root	30.9833333333333	-112.604278443193	174.57094510986	0.985356296530149
Kitaake_Rhizo-Kitaake_Root	37.8999999999999	-105.687611776527	181.487611776526	0.964778068089708
Kitaake_Input-Kitaake_Root	236.566666666667	92.9790548901401	380.154278443193	0.000300821127182549
MH63_Input-Kitaake_Root	251.483333333333	107.895721556807	395.07094510986	0.000125229311021546
Kitaake_Rhizo-MH63_Rhizo	6.91666666666663	-136.67094510986	150.504278443193	0.999989490385886
Kitaake_Input-MH63_Rhizo	205.583333333333	61.9957215568068	349.17094510986	0.00181561131550534
MH63_Input-MH63_Rhizo	220.5	76.9123882234734	364.087611776527	0.000768376640908119
Kitaake_Input-Kitaake_Rhizo	198.666666666667	55.0790548901402	342.254278443193	0.00269134920978797
MH63_Input-Kitaake_Rhizo	213.583333333333	69.9957215568068	357.17094510986	0.00114668156327336
MH63_Input-Kitaake_Input	14.9166666666666	-128.67094510986	158.504278443193	0.999533809945128
