diff	lwr	upr	p adj
Kitaake_Root-MH63_Root	75.1666666666667	-68.0568767757405	218.390210109074	0.607184181079616
MH63_Rhizo-MH63_Root	106.5	-36.7235434424072	249.723543442407	0.240920203572499
Kitaake_Rhizo-MH63_Root	113.333333333333	-29.8902101090739	256.556876775741	0.18604987158385
Kitaake_Input-MH63_Root	311.333333333333	168.109789890926	454.556876775741	3.60397546106395e-06
MH63_Input-MH63_Root	326.833333333333	183.609789890926	470.056876775741	1.47614851087052e-06
MH63_Rhizo-Kitaake_Root	31.3333333333333	-111.890210109074	174.556876775741	0.984427995338457
Kitaake_Rhizo-Kitaake_Root	38.1666666666666	-105.056876775741	181.390210109074	0.963329537209587
Kitaake_Input-Kitaake_Root	236.166666666667	92.9431232242595	379.390210109074	0.000297309223213693
MH63_Input-Kitaake_Root	251.666666666667	108.443123224259	394.890210109074	0.00011930870982646
Kitaake_Rhizo-MH63_Rhizo	6.83333333333331	-136.390210109074	150.056876775741	0.99998997942217
Kitaake_Input-MH63_Rhizo	204.833333333333	61.6097898909262	348.056876775741	0.0018395695841088
MH63_Input-MH63_Rhizo	220.333333333333	77.1097898909261	363.556876775741	0.000751023243792948
Kitaake_Input-Kitaake_Rhizo	198	54.7764565575929	341.223543442407	0.00271635852233698
MH63_Input-Kitaake_Rhizo	213.5	70.2764565575928	356.723543442407	0.00111668310216984
MH63_Input-Kitaake_Input	15.4999999999999	-127.723543442407	158.723543442407	0.999431133800417
diff	lwr	upr	p adj
Kitaake_Root-MH63_Root	75.1666666666667	-68.0568767757405	218.390210109074	0.607184181079616
MH63_Rhizo-MH63_Root	106.5	-36.7235434424072	249.723543442407	0.240920203572499
Kitaake_Rhizo-MH63_Root	113.333333333333	-29.8902101090739	256.556876775741	0.18604987158385
Kitaake_Input-MH63_Root	311.333333333333	168.109789890926	454.556876775741	3.60397546106395e-06
MH63_Input-MH63_Root	326.833333333333	183.609789890926	470.056876775741	1.47614851087052e-06
MH63_Rhizo-Kitaake_Root	31.3333333333333	-111.890210109074	174.556876775741	0.984427995338457
Kitaake_Rhizo-Kitaake_Root	38.1666666666666	-105.056876775741	181.390210109074	0.963329537209587
Kitaake_Input-Kitaake_Root	236.166666666667	92.9431232242595	379.390210109074	0.000297309223213693
MH63_Input-Kitaake_Root	251.666666666667	108.443123224259	394.890210109074	0.00011930870982646
Kitaake_Rhizo-MH63_Rhizo	6.83333333333331	-136.390210109074	150.056876775741	0.99998997942217
Kitaake_Input-MH63_Rhizo	204.833333333333	61.6097898909262	348.056876775741	0.0018395695841088
MH63_Input-MH63_Rhizo	220.333333333333	77.1097898909261	363.556876775741	0.000751023243792948
Kitaake_Input-Kitaake_Rhizo	198	54.7764565575929	341.223543442407	0.00271635852233698
MH63_Input-Kitaake_Rhizo	213.5	70.2764565575928	356.723543442407	0.00111668310216984
MH63_Input-Kitaake_Input	15.4999999999999	-127.723543442407	158.723543442407	0.999431133800417
