diff	lwr	upr	p adj
Kitaake_Root-MH63_Root	0.113828102154278	0.0380065059616554	0.1896496983469	0.00102282113255825
MH63_Rhizo-MH63_Root	0.131465766512188	0.0556441703195655	0.20728736270481	0.000145235731159654
Kitaake_Rhizo-MH63_Root	0.160008669277538	0.0841870730849156	0.235830265470161	6.10674592749216e-06
MH63_Input-MH63_Root	0.195559672661924	0.119738076469301	0.271381268854546	1.34581207844597e-07
Kitaake_Input-MH63_Root	0.208259835182394	0.132438238989771	0.284081431375016	3.63849831375163e-08
MH63_Rhizo-Kitaake_Root	0.0176376643579101	-0.0581839318347123	0.0934592605505326	0.979570880253933
Kitaake_Rhizo-Kitaake_Root	0.0461805671232602	-0.0296410290693622	0.122002163315883	0.44938388275126
MH63_Input-Kitaake_Root	0.081731570507646	0.00590997431502356	0.157553166700268	0.0287878753388897
Kitaake_Input-Kitaake_Root	0.0944317330281159	0.0186101368354935	0.170253329220738	0.00811435625270407
Kitaake_Rhizo-MH63_Rhizo	0.0285429027653501	-0.0472786934272724	0.104364498957973	0.85849795943469
MH63_Input-MH63_Rhizo	0.0640939061497359	-0.0117276900428866	0.139915502342358	0.136005363055465
Kitaake_Input-MH63_Rhizo	0.0767940686702058	0.000972472477583322	0.152615664862828	0.0457467954252341
MH63_Input-Kitaake_Rhizo	0.0355510033843858	-0.0402705928082367	0.111372599577008	0.711353435366682
Kitaake_Input-Kitaake_Rhizo	0.0482511659048557	-0.0275704302877668	0.124072762097478	0.401376299276953
Kitaake_Input-MH63_Input	0.0127001625204699	-0.0631214336721525	0.0885217587130924	0.995409215491383
diff	lwr	upr	p adj
Kitaake_Root-MH63_Root	0.113828102154278	0.0380065059616554	0.1896496983469	0.00102282113255825
MH63_Rhizo-MH63_Root	0.131465766512188	0.0556441703195655	0.20728736270481	0.000145235731159654
Kitaake_Rhizo-MH63_Root	0.160008669277538	0.0841870730849156	0.235830265470161	6.10674592749216e-06
MH63_Input-MH63_Root	0.195559672661924	0.119738076469301	0.271381268854546	1.34581207844597e-07
Kitaake_Input-MH63_Root	0.208259835182394	0.132438238989771	0.284081431375016	3.63849831375163e-08
MH63_Rhizo-Kitaake_Root	0.0176376643579101	-0.0581839318347123	0.0934592605505326	0.979570880253933
Kitaake_Rhizo-Kitaake_Root	0.0461805671232602	-0.0296410290693622	0.122002163315883	0.44938388275126
MH63_Input-Kitaake_Root	0.081731570507646	0.00590997431502356	0.157553166700268	0.0287878753388897
Kitaake_Input-Kitaake_Root	0.0944317330281159	0.0186101368354935	0.170253329220738	0.00811435625270407
Kitaake_Rhizo-MH63_Rhizo	0.0285429027653501	-0.0472786934272724	0.104364498957973	0.85849795943469
MH63_Input-MH63_Rhizo	0.0640939061497359	-0.0117276900428866	0.139915502342358	0.136005363055465
Kitaake_Input-MH63_Rhizo	0.0767940686702058	0.000972472477583322	0.152615664862828	0.0457467954252341
MH63_Input-Kitaake_Rhizo	0.0355510033843858	-0.0402705928082367	0.111372599577008	0.711353435366682
Kitaake_Input-Kitaake_Rhizo	0.0482511659048557	-0.0275704302877668	0.124072762097478	0.401376299276953
Kitaake_Input-MH63_Input	0.0127001625204699	-0.0631214336721525	0.0885217587130924	0.995409215491383
