"","ASVID","mh_rhizo_prev","mh_rhizo_RA.mean","mh_rhizo_log.mean","mh_rhizo_filtN","mh_rhizo_ra","mh_rhizo_prevN","mh_rhizo_condition","mh_root_prev","mh_root_RA.mean","mh_root_log.mean","mh_root_filtN","mh_root_ra","mh_root_prevN","mh_root_condition","kit_rhizo_prev","kit_rhizo_RA.mean","kit_rhizo_log.mean","kit_rhizo_filtN","kit_rhizo_ra","kit_rhizo_prevN","kit_rhizo_condition","kit_root_prev","kit_root_RA.mean","kit_root_log.mean","kit_root_filtN","kit_root_ra","kit_root_prevN","kit_root_condition","Kingdom","Phylum","Class","Order","Family","Genus"
"1","ASV_1",1,0.035623052502921,-1.44826886902846,"Retain","Retain","Retain","Both_Pass",1,0.430201140213666,-0.36632844288429,"Retain","Retain","Retain","Both_Pass",1,0.00256200458972879,-2.59142009656943,"Retain","Discard","Retain","Only_prevN_pass",1,0.105406864141955,-0.977131106752426,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ideonella"
"2","ASV_2",1,0.00785142342731716,-2.1050516005046,"Retain","Discard","Retain","Only_prevN_pass",1,0.0381167097861027,-1.41888459448203,"Retain","Retain","Retain","Both_Pass",1,0.08118788059068,-1.09050879570244,"Retain","Retain","Retain","Both_Pass",1,0.193022040589322,-0.714393097418158,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea"
"3","ASV_3",0.166666666666667,0.00019821263907202,-3.70286865608573,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.00105783641462413,-2.97558148704466,"Retain","Discard","Discard","Both_Fail",1,0.00528302848009103,-2.27711704808402,"Retain","Discard","Retain","Only_prevN_pass",1,0.164737627656453,-0.783207192468702,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Paludibacterium"
"4","ASV_4",1,0.228721401584081,-0.640693196324572,"Retain","Retain","Retain","Both_Pass",1,0.00113267674466238,-2.94589401603261,"Retain","Discard","Retain","Only_prevN_pass",1,0.0993975441402079,-1.00262434577907,"Retain","Retain","Retain","Both_Pass",1,0.00177326130183885,-2.75122726350503,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"5","ASV_5",0.833333333333333,0.00653946894072774,-2.18445751856809,"Retain","Discard","Discard","Both_Fail",1,0.0889000963275795,-1.05109776845033,"Retain","Retain","Retain","Both_Pass",0.333333333333333,0.000854225007048941,-3.06842771894947,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.003580632500954,-2.44604025061556,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas"
"6","ASV_6",1,0.00336672303438391,-2.47279260965476,"Retain","Discard","Retain","Only_prevN_pass",1,0.00400929820378903,-2.39693164057072,"Retain","Discard","Retain","Only_prevN_pass",0.5,0.000945358771214378,-3.02440334197866,"Retain","Discard","Discard","Both_Fail",1,0.00473131238579734,-2.32501837662927,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechlorosoma"
"7","ASV_7",0.333333333333333,0.00035261559614973,-3.45269848281386,"Retain","Discard","Discard","Both_Fail",0.5,0.00191289916896931,-2.71830792151182,"Retain","Discard","Discard","Both_Fail",1,0.000802106473497984,-3.09576797861927,"Retain","Discard","Retain","Only_prevN_pass",1,0.0472030609369161,-1.3260298381263,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","[Polyangium] brachysporum group"
"8","ASV_8",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.833333333333333,0.00355947055641651,-2.44861459515252,"Retain","Discard","Discard","Both_Fail",1,0.0267748524894134,-1.57227291314635,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas"
"9","ASV_9",1,0.014632600286705,-1.83467849070168,"Retain","Retain","Retain","Both_Pass",1,0.0374910670822624,-1.42607219837965,"Retain","Retain","Retain","Both_Pass",0.666666666666667,0.00315468798989174,-2.50104358759862,"Retain","Discard","Discard","Both_Fail",1,0.00641182971778687,-2.19301801994352,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira"
"10","ASV_10",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.0598712641133518,-1.22278157212561,"Retain","Retain","Discard","Only_RA_pass",0.666666666666667,0.00537000063930587,-2.27002566259709,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum"
