"","condition","RA_mean_sum","n","variable"
"1","Both_Pass",0.596962520402894,18,"ps_mh_rhizo"
"2","Only_RA_pass",0.0588607340276829,4,"ps_mh_rhizo"
"3","Only_prevN_pass",0.176767428811707,81,"ps_mh_rhizo"
"4","Both_Fail",0.167409316757716,1001,"ps_mh_rhizo"
"5","Both_Pass",0.782483036326821,13,"ps_mh_root"
"6","Only_prevN_pass",0.123773442910962,65,"ps_mh_root"
"7","Both_Fail",0.0937435207622174,1026,"ps_mh_root"
"8","Both_Pass",0.404477082440332,12,"ps_kit_rhizo"
"9","Only_RA_pass",0.123280408784327,5,"ps_kit_rhizo"
"10","Only_prevN_pass",0.34586972929884,141,"ps_kit_rhizo"
"11","Both_Fail",0.126372779476502,946,"ps_kit_rhizo"
"12","Both_Pass",0.694618370765801,13,"ps_kit_root"
"13","Only_prevN_pass",0.219662601402196,110,"ps_kit_root"
"14","Both_Fail",0.0857190278320031,981,"ps_kit_root"
