"","parameter","threshold","n_pass_otu","n_pass_otu_ra","variable"
"1","raw","-",1104,1,"ps_mh_rhizo"
"2","filtN","0",1104,1,"ps_mh_rhizo"
"3","RA","0.01",22,0.656,"ps_mh_rhizo"
"4","prev","0.833333333333333",99,0.774,"ps_mh_rhizo"
"5","raw","-",1104,1,"ps_mh_root"
"6","filtN","0",1104,1,"ps_mh_root"
"7","RA","0.01",13,0.782,"ps_mh_root"
"8","prev","0.833333333333333",78,0.906,"ps_mh_root"
"9","raw","-",1104,1,"ps_kit_rhizo"
"10","filtN","0",1104,1,"ps_kit_rhizo"
"11","RA","0.01",17,0.528,"ps_kit_rhizo"
"12","prev","0.833333333333333",153,0.75,"ps_kit_rhizo"
"13","raw","-",1104,1,"ps_kit_root"
"14","filtN","0",1104,1,"ps_kit_root"
"15","RA","0.01",13,0.695,"ps_kit_root"
"16","prev","0.833333333333333",123,0.914,"ps_kit_root"
