"","Raw","LowPrevalence","Kingdom","Mitochondria","Retained","percentage"
"K1",83295,7534,4,912,75043,90.09
"K2",124062,6897,0,396,116851,94.19
"K3",94065,6875,0,1093,86433,91.89
"K4",93102,5245,0,1069,87079,93.53
"K5",84549,5803,0,1018,78023,92.28
"K6",83357,3966,2,1053,78642,94.34
"s1_xgl_root_1",55392,943,0,140,54309,98.04
"s1_xgl_root_2",64607,2761,0,163,61683,95.47
"s1_xgl_root_3",59585,1670,0,204,57714,96.86
"s1_xgl_soil_1",42092,8352,0,6,33734,80.14
"s1_xgl_soil_2",42554,8143,0,1,34411,80.86
"s1_xgl_soil_3",25520,4178,0,0,21342,83.63
"s2_xgl_root_1",76069,4702,0,328,71093,93.46
"s2_xgl_root_2",93319,2965,0,184,90186,96.64
"s2_xgl_root_3",113392,8093,0,478,104891,92.5
"s2_xgl_soil_1",63548,14909,0,0,48639,76.54
"s2_xgl_soil_2",46588,7648,0,339,38679,83.02
"s2_xgl_soil_3",140194,27277,0,0,112917,80.54
"SK1",58271,10987,0,20,47265,81.11
"SK2",90786,14706,0,16,76073,83.79
"SK3",84861,17532,0,29,67296,79.3
"SK4",41000,6920,0,12,34065,83.09
"SK5",85733,16361,2,33,69350,80.89
"SK6",86029,19979,2,125,65944,76.65
"XF1_1",70342,25944,19,247,44390,63.11
"XF1_2",31480,10188,0,105,21292,67.64
"XF1_3",9897,2362,0,47,7535,76.13
"XF1",59875,25914,136,27,33914,56.64
"XF2_1",64863,25662,19,0,39184,60.41
"XF2_2",74995,28242,20,0,46733,62.31
"XF2_3",97076,37743,56,0,59296,61.08
"XF2",111141,52261,295,93,58838,52.94
"XF3",59322,27302,175,28,31963,53.88
"XF4",48545,21221,119,252,27251,56.14
"XF5",50746,20327,121,25,30415,59.94
"XF6",18738,6464,35,5,12248,65.36
