"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_1",6323,5074,5760,5000,5802,2543,5054,5345,5723,12802,5716,3132,11058,5442,7583,8039,3499,9151,634,740,599,1133,849,837,340,2319,7705,270,321,3119,1935,2277,2057,593,520
"ASV_2",1912,5796,5426,7723,9807,14877,3443,3014,4355,5695,4220,11526,823,2355,5511,5042,1589,1342,134,188,306,193,97,198,124,186,215,182,127,139,50,88,72,48,156
"ASV_3",3620,4659,3218,2588,2290,1655,5667,3492,3100,1744,4402,1996,5358,8832,4756,4002,6182,3294,63,46,113,195,83,55,143,73,32,74,53,64,102,196,127,29,120
"ASV_4",39,39,25,36,30,83,80,41,81,42,65,66,12,42,9,23,19,25,8516,4959,4803,4813,5236,3429,4017,2976,1581,2261,4862,1880,3963,3367,4574,2223,2965
"ASV_5",2808,1881,3785,2755,915,538,1529,1041,1975,1290,2395,1014,2938,1785,4899,3065,3168,3141,20,11,120,50,5,36,21,44,15,31,15,12,37,15,25,19,18
"ASV_6",1409,1583,870,1467,1362,849,873,1423,999,445,1448,113,2707,769,610,516,4799,1787,61,466,1094,282,178,57,81,215,0,111,83,137,211,160,311,105,71
"ASV_7",136,107,172,25,0,200,211,205,408,0,222,0,191,178,214,677,189,103,2359,2342,0,0,2027,1283,831,0,0,7466,2483,9,1120,1036,1665,6067,141
"ASV_8",685,943,1491,1624,1570,742,768,3020,1106,1083,1280,684,797,708,742,1870,191,415,30,62,116,83,63,228,144,114,110,64,50,56,87,149,90,23,33
"ASV_9",916,655,820,914,830,1090,751,1285,1198,688,871,921,434,678,664,581,193,503,140,288,715,324,155,911,874,428,648,270,302,424,182,399,329,150,197
"ASV_10",541,318,643,448,245,296,595,1212,269,227,261,1137,383,407,292,360,666,926,133,1954,795,523,520,184,279,179,2753,93,354,1274,395,237,305,139,210
"ASV_11",0,0,0,0,0,2,2,2,1,8,3,0,0,0,0,0,0,5,1018,705,983,910,1700,932,936,728,513,1957,1342,872,1654,759,989,898,2157
"ASV_12",188,486,275,131,244,0,88,21,301,389,118,370,32,64,34,56,124,104,389,30,875,1071,14,366,92,4917,10,4312,244,1816,71,43,201,223,2283
"ASV_13",17,7,8,17,9,0,8,3,8,11,3,0,9,12,12,11,17,63,76,19,1228,341,37,174,364,1362,0,306,2023,234,2447,667,2612,2151,1533
"ASV_14",724,450,131,335,110,138,802,822,718,27,581,60,195,470,131,80,307,1004,182,23,142,60,67,185,205,58,0,112,130,19,59,200,35,15,252
"ASV_15",622,461,465,644,177,1024,557,945,819,111,220,1043,574,193,204,148,648,623,33,248,65,32,60,40,107,66,27,20,19,31,25,19,37,8,5
"ASV_16",621,573,44,944,10,301,206,239,171,0,205,85,225,622,490,106,4131,54,12,0,0,0,0,0,0,0,0,0,26,0,0,32,0,27,13
"ASV_17",92,118,87,7,176,27,266,168,46,177,351,318,67,41,25,270,102,92,54,31,273,1154,9,1420,175,959,727,0,39,725,103,16,895,125,10
"ASV_18",15,0,39,5,0,178,184,13,29,0,58,0,187,26,72,0,0,13,285,2005,0,0,329,0,616,0,0,0,1376,0,314,811,1579,1123,0
"ASV_19",37,39,30,42,7,0,40,22,32,0,19,0,0,20,10,0,18,16,1004,305,568,424,420,825,1184,186,0,450,588,90,796,920,520,371,723
"ASV_20",80,75,81,113,182,174,84,87,66,60,90,83,35,51,68,106,31,36,262,825,511,526,247,530,481,338,613,501,250,532,245,270,239,229,214
"ASV_21",402,611,602,305,632,20,482,395,598,420,492,171,595,388,171,35,290,422,41,0,129,125,26,112,79,64,15,49,22,41,36,32,47,46,43
"ASV_22",13,20,15,25,12,27,23,16,37,57,4,26,14,28,11,33,5,5,597,232,398,383,179,263,357,847,204,382,457,769,531,354,414,466,381
"ASV_23",563,199,382,102,344,408,360,198,274,194,287,500,280,396,326,79,471,718,104,82,50,97,35,70,120,53,35,78,61,39,24,65,70,44,65
"ASV_24",375,1049,297,32,239,561,180,221,277,27,235,538,668,242,209,325,600,842,0,0,0,0,21,23,22,0,0,0,0,55,0,0,0,0,0
"ASV_25",284,278,243,231,327,351,214,302,88,214,105,291,189,123,167,278,278,209,109,319,194,415,129,73,109,68,0,0,115,243,182,70,107,39,134
"ASV_26",100,248,386,131,266,71,83,348,514,240,213,855,121,179,640,670,242,170,64,0,0,18,6,18,0,65,33,61,0,59,0,0,0,447,0
"ASV_27",0,12,0,0,15,0,6,6,7,0,0,7,0,0,0,6,0,0,220,443,280,410,428,419,196,377,510,214,327,537,394,543,312,405,298
"ASV_28",0,2,0,0,6,0,16,7,9,0,0,0,0,0,0,4,0,0,298,585,345,311,797,185,161,317,256,132,326,446,475,322,331,436,316
"ASV_29",31,262,124,124,300,392,66,566,212,260,445,659,73,34,72,299,14,85,41,287,188,71,86,26,27,85,237,338,64,161,53,57,81,127,83
"ASV_30",248,187,211,145,119,155,156,107,183,163,174,208,124,136,173,99,78,103,178,174,208,123,95,114,233,131,122,328,143,142,180,135,161,120,131
"ASV_31",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,400,159,339,361,324,514,419,319,247,186,410,319,498,414,221,499,317
"ASV_32",272,115,338,138,138,104,64,148,106,213,267,132,205,281,186,711,94,578,18,74,216,133,37,128,53,69,0,0,0,31,84,42,111,166,32
"ASV_33",352,278,165,258,178,72,717,359,675,0,157,11,136,266,124,0,152,638,60,45,72,81,94,83,131,31,0,0,57,0,30,93,0,28,157
"ASV_34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,122,276,312,349,373,314,215,98,401,394,164,613,348,246,274,798
"ASV_35",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,84,284,266,314,354,226,124,247,233,162,148,630,326,562,275,550,276
"ASV_36",3,3,6,0,3,14,2,0,4,0,7,0,0,0,0,0,5,9,256,372,372,423,241,221,162,341,524,352,248,259,255,275,265,296,322
"ASV_37",0,0,5,3,4,0,0,6,11,14,0,4,0,0,8,5,0,1,227,291,185,369,518,369,368,338,95,177,211,285,369,430,407,123,215
"ASV_38",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,89,172,209,178,928,91,129,151,587,221,158,272,289,117,126,608,319
"ASV_39",23,18,54,91,121,136,50,28,60,27,63,87,0,0,46,76,28,16,156,415,285,330,170,289,228,188,199,291,158,237,162,212,152,182,175
"ASV_40",7,14,5,11,10,19,9,5,9,23,9,9,2,0,5,3,1,25,79,216,237,197,435,222,125,215,385,162,210,260,255,359,184,442,305
"ASV_41",25,40,49,26,35,56,34,8,35,45,42,56,0,9,23,45,10,5,186,227,186,223,173,473,256,167,313,295,265,382,121,370,165,140,142
"ASV_42",317,255,214,106,52,245,376,125,406,99,309,264,199,235,137,158,137,271,85,37,63,27,25,32,135,57,68,70,66,80,36,9,56,15,20
"ASV_43",140,134,126,81,58,78,266,93,157,167,225,278,108,67,113,127,82,115,97,24,61,130,25,303,81,272,113,44,66,180,250,56,157,15,54
"ASV_44",11,0,25,16,15,18,11,18,11,0,16,8,20,10,8,21,9,4,258,121,208,367,522,310,175,187,6,50,106,61,527,469,360,95,230
"ASV_45",141,347,262,550,45,38,214,148,214,0,73,0,125,724,505,0,383,31,11,23,39,20,0,49,108,0,0,45,0,0,21,33,0,0,57
"ASV_46",8,16,12,10,6,22,17,8,17,8,31,23,0,11,10,6,5,17,92,75,84,118,297,91,43,101,81,25,86,100,89,75,78,187,93
"ASV_47",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,233,250,161,336,292,289,266,249,218,109,220,375,250,354,184,89,292
"ASV_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,121,200,89,467,147,80,85,158,122,92,243,208,205,74,999,510
"ASV_49",0,0,2,0,5,0,0,0,0,2,0,0,3,0,0,2,0,0,295,111,235,261,227,334,380,187,135,183,285,179,297,246,176,229,265
"ASV_50",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,92,217,129,125,353,151,83,124,219,44,67,673,209,394,196,449,130
"ASV_51",75,81,78,110,48,98,31,287,73,56,110,199,63,22,111,90,9,147,10,522,93,82,11,57,75,100,589,33,87,123,35,28,32,0,0
"ASV_52",13,0,0,0,8,0,12,7,9,0,0,13,0,0,0,0,0,0,147,213,235,196,527,232,153,163,183,110,115,144,163,220,188,100,267
"ASV_53",33,49,35,66,138,146,31,31,37,41,58,111,0,0,38,47,18,38,89,166,124,177,126,297,155,155,235,304,160,244,80,232,87,37,115
"ASV_54",0,0,9,0,24,34,8,0,18,28,17,23,0,0,0,17,4,0,131,210,166,224,123,267,223,142,408,150,221,344,105,278,123,57,91
"ASV_55",138,58,49,79,22,21,292,67,174,50,129,115,92,106,33,65,66,278,56,20,142,36,16,53,99,0,0,0,147,24,13,87,51,32,108
"ASV_56",102,71,186,108,273,320,76,178,113,237,347,245,110,69,154,282,44,174,2,40,18,38,5,9,9,18,10,0,0,15,6,3,8,7,0
"ASV_58",0,0,5,0,0,0,6,0,0,1,0,0,0,0,0,0,0,18,386,112,135,210,137,350,213,115,38,90,93,76,267,353,203,67,173
"ASV_59",91,136,168,84,240,272,75,214,197,188,356,209,107,38,80,141,46,130,14,42,95,42,25,36,11,22,40,17,8,20,18,11,23,6,0
"ASV_60",56,52,60,139,176,140,77,71,49,60,88,237,42,49,91,156,39,22,57,167,113,93,66,158,104,92,147,204,72,165,38,58,73,59,83
"ASV_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,150,171,263,88,334,225,156,0,78,168,81,348,412,113,84,161
"ASV_62",88,90,151,134,82,84,179,165,160,33,338,85,74,79,34,22,55,208,47,7,22,13,5,41,14,10,0,6,30,14,0,11,0,0,13
"ASV_63",0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,10,4,4,12,3,0,0,0,8,15,0,7,0,15,0
