"","sampleid","rawreads","bactreads","bactratio","Geno","Compartment","Group","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson"
"C1","C1",55363,51997,93.92,"cerk1","root","croot",358,361,2.75142202803604,360.915343446811,8.95223270042202,3.91626826727035,0.937102119655487
"C2","C2",74684,72630,97.25,"cerk1","root","croot",297,299.8125,2.60779238382974,299.773660551821,8.48432567522518,3.49903674276268,0.91919714820865
"C3","C3",76417,71628,93.73,"cerk1","root","croot",318,319.272727272727,1.50750837809688,320.209567939524,8.81545263146278,3.49670611906985,0.917965076008805
"C4","C4",82093,78490,95.61,"cerk1","root","croot",314,317.545454545455,2.87871478357041,318.165735261988,8.81330132289862,3.38245299660906,0.905720440337272
"C5","C5",119289,116234,97.44,"cerk1","root","croot",335,342.965517241379,4.7083850432893,343.381068178341,9.140068684463,3.2541841328062,0.874558965701799
"C6","C6",38991,38114,97.75,"cerk1","root","croot",178,178.2,0.621350760582755,178.420945734927,5.62682188229352,2.88938125077552,0.792413166437692
"K1","K1",82101,79396,96.71,"Kitaake","root","kroot",407,409.869565217391,2.49231899919129,410.661735354223,9.87912483135392,3.88604963061097,0.93213757334018
"K2","K2",122771,120841,98.43,"Kitaake","root","kroot",391,396.464285714286,3.67738357945238,396.941006877341,9.86249988951817,3.78596852415188,0.939687010015201
"K3","K3",92646,89049,96.12,"Kitaake","root","kroot",420,430.714285714286,5.81435685848069,428.47101144537,10.1880707802383,3.85288811412834,0.936186013086342
"K4","K4",92104,89696,97.39,"Kitaake","root","kroot",287,291.4,3.55757022346902,290.71134510553,8.3517573799299,2.9497041877407,0.820503049775305
"K5","K5",83287,81141,97.42,"Kitaake","root","kroot",341,353.157894736842,6.90610567896562,349.61372951706,9.05607288331055,3.65807801015772,0.927476116318763
"K6","K6",82008,79851,97.37,"Kitaake","root","kroot",261,265.230769230769,3.56028878023845,264.481755490379,7.90649729099008,3.25007924020319,0.864193619969397
"R1","R1",77046,75656,98.2,"fls2","root","rroot",261,267,4.53563457849396,265.11695135993,8.0130932455683,2.93946204249664,0.850209384168165
"R2","R2",69964,68329,97.66,"fls2","root","rroot",307,308.071428571429,1.43990090000854,308.531105333845,8.40394425794006,3.44636397865873,0.893866990588691
"R3","R3",74596,72878,97.7,"fls2","root","rroot",237,241.714285714286,3.7792690709834,240.684809871661,7.63921504302566,2.95814367258673,0.879148148354133
"R4","R4",120999,119635,98.87,"fls2","root","rroot",268,276.142857142857,5.08850138564099,275.750136002447,8.1727144435671,3.14159929555975,0.892609127068649
"R5","R5",109018,107945,99.02,"fls2","root","rroot",221,226.5,4.51050527509331,224.530761705101,7.3947294710288,3.08338784413249,0.906647209848359
"R6","R6",88774,87260,98.29,"fls2","root","rroot",245,256.375,8.08540099836371,249.511916799584,7.65950272040369,3.33170719865549,0.898555631963742
"SC1","SC1",73188,69561,95.04,"cerk1","soil","csoil",564,570.785714285714,4.25101220842758,569.823663442919,11.6375666973262,4.39731446341445,0.926492387023082
"SC2","SC2",96821,92909,95.96,"cerk1","soil","csoil",591,597.272727272727,3.74064719280906,599.164142501847,12.0082650105371,4.60786159861334,0.962249886511692
"SC3","SC3",60440,57387,94.95,"cerk1","soil","csoil",564,569.666666666667,3.87084303327065,569.019138859477,11.2543819840899,4.93111798127547,0.971488373593622
"SC4","SC4",80439,76940,95.65,"cerk1","soil","csoil",626,629.387096774194,2.65080719499988,629.829392661432,11.9934828384952,4.99175536928327,0.971806496405986
"SC5","SC5",108131,103269,95.5,"cerk1","soil","csoil",609,617.108108108108,4.56046567781786,616.765383743506,12.2109967037064,4.73022718583645,0.964279385155866
