"","group","gene"
"1","GxM","LOC4351108"
"2","GxM","LOC9272435"
"3","G","LOC107275287"
"4","G","LOC107276064"
"5","G","LOC107276239"
"6","G","LOC107276314"
"7","G","LOC107276359"
"8","G","LOC107276502"
"9","G","LOC107276734"
"10","G","LOC107276936"
"11","G","LOC107277668"
"12","G","LOC107277723"
"13","G","LOC107277942"
"14","G","LOC107278045"
"15","G","LOC107278287"
"16","G","LOC107278773"
"17","G","LOC107278796"
"18","G","LOC107278881"
"19","G","LOC107279583"
"20","G","LOC107279791"
"21","G","LOC107279803"
"22","G","LOC107279916"
"23","G","LOC107280252"
"24","G","LOC107280552"
"25","G","LOC107280802"
"26","G","LOC107280867"
"27","G","LOC107281160"
"28","G","LOC107281259"
"29","G","LOC107281389"
"30","G","LOC107281412"
"31","G","LOC107281441"
"32","G","LOC107281487"
"33","G","LOC107281512"
"34","G","LOC107281874"
"35","G","LOC107281919"
"36","G","LOC107281986"
"37","G","LOC107281987"
"38","G","LOC107282001"
"39","G","LOC107282006"
"40","G","LOC112936944"
"41","G","LOC112937312"
"42","G","LOC112937322"
"43","G","LOC112937602"
"44","G","LOC112938273"
"45","G","LOC112938319"
"46","G","LOC112938659"
"47","G","LOC112938768"
"48","G","LOC112938785"
"49","G","LOC112939078"
"50","G","LOC112939266"
"51","G","LOC112939289"
"52","G","LOC112939327"
"53","G","LOC112939358"
"54","G","LOC112939570"
"55","G","LOC112939673"
"56","G","LOC4325123"
"57","G","LOC4325269"
"58","G","LOC4326123"
"59","G","LOC4326148"
"60","G","LOC4326410"
"61","G","LOC4327049"
"62","G","LOC4328946"
"63","G","LOC4329175"
"64","G","LOC4330933"
"65","G","LOC4331314"
"66","G","LOC4331398"
"67","G","LOC4332625"
"68","G","LOC4335427"
"69","G","LOC4336057"
"70","G","LOC4336297"
"71","G","LOC4336927"
"72","G","LOC4337401"
"73","G","LOC4337492"
"74","G","LOC4337919"
"75","G","LOC4338923"
"76","G","LOC4339080"
"77","G","LOC4340413"
"78","G","LOC4340907"
"79","G","LOC4342262"
"80","G","LOC4343091"
"81","G","LOC4343358"
"82","G","LOC4343482"
"83","G","LOC4343492"
"84","G","LOC4343720"
"85","G","LOC4344078"
"86","G","LOC4344361"
"87","G","LOC4344768"
"88","G","LOC4344769"
"89","G","LOC4344780"
"90","G","LOC4344873"
"91","G","LOC4346262"
"92","G","LOC4346496"
"93","G","LOC4347145"
"94","G","LOC4347262"
"95","G","LOC4348228"
"96","G","LOC4350061"
"97","G","LOC4350269"
